ID,Start time,Completion time,Language,Universidad,Grado,Curso,Edad,Sexo,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,RNPQ,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,HC_PAIRS
4,2/7/24 17:51:14,2/7/24 17:53:55,es,Universidad de Alcalá,Fisioterapia,Último curso,21,Mujer,0,0,1,1,1,0,1,1,0,1,1,1,8,7,1,1,1,4,2,2,1,5,5,2,1,6,3,4,45
5,2/7/24 17:50:52,2/7/24 17:57:01,es,Universidad de Alcalá,Fisioterapia,Último curso,21,Hombre,0,0,1,1,1,0,1,1,0,1,1,1,8,6,2,2,5,2,3,4,3,3,5,1,1,2,6,3,42
6,2/7/24 17:58:15,2/7/24 18:02:12,es,Universidad de Alcalá,Fisioterapia,Último curso,21,Mujer,0,0,1,0,0,1,1,1,1,0,1,0,6,1,5,5,7,2,1,1,6,4,7,1,1,7,3,2,67
7,2/7/24 18:41:39,2/7/24 18:47:28,es,Universidad de Alcalá,Fisioterapia,Último curso,21,Hombre,1,0,1,1,1,1,1,1,1,1,1,0,10,7,4,1,4,2,1,4,3,1,4,1,1,4,5,1,41
8,2/7/24 20:50:29,2/7/24 20:55:18,es,Universidad de Alcalá,Fisioterapia,Último curso,21,Mujer,1,0,1,0,0,0,1,1,1,1,1,1,8,3,2,3,3,4,3,5,3,6,6,4,1,5,4,2,58
9,2/7/24 20:57:53,2/7/24 21:03:51,es,Universidad de Alcalá,Fisioterapia,Último curso,26,Mujer,1,0,1,1,1,0,1,1,1,1,1,1,10,5,1,5,2,3,5,3,1,5,6,1,1,7,3,1,47
10,2/7/24 21:25:03,2/7/24 21:35:52,es,Universidad de Alcalá,Fisioterapia,Último curso,21,Hombre,0,0,1,1,1,0,0,1,1,1,1,0,7,4,4,6,1,1,1,5,7,7,6,2,1,5,5,1,60
11,2/8/24 0:27:53,2/8/24 0:31:57,es,Universidad de Alcalá,Fisioterapia,Último curso,22,Mujer,0,0,1,1,1,0,1,1,1,1,1,0,8,5,6,4,3,4,3,4,5,5,2,2,3,7,6,2,57
12,2/7/24 22:23:29,2/8/24 9:39:51,es,Universidad de Alcalá,Fisioterapia,Último curso,24,Mujer,0,0,1,1,1,1,1,1,1,1,0,1,9,1,3,4,5,3,2,5,1,5,6,1,1,6,2,5,64
13,2/8/24 15:24:06,2/8/24 15:32:03,es,Universidad de Alcalá,Fisioterapia,Último curso,24,Mujer,0,0,1,1,0,1,1,1,1,1,1,1,9,5,1,1,4,4,2,4,1,2,7,2,1,7,5,1,47
14,2/8/24 18:48:12,2/8/24 19:04:55,es,Universidad de Alcalá,Fisioterapia,Último curso,21,Hombre,1,0,1,0,1,0,1,1,0,0,0,1,6,1,6,2,4,1,2,6,6,7,6,1,2,4,4,2,64
15,2/8/24 19:13:24,2/8/24 19:19:43,es,Universidad de Alcalá,Fisioterapia,Último curso,21,Mujer,0,0,1,1,1,0,1,1,0,1,1,0,7,7,5,2,3,3,4,4,5,6,5,1,2,5,4,3,53
16,2/8/24 22:34:18,2/8/24 22:39:35,es,Universidad de Alcalá,Fisioterapia,Último curso,21,Mujer,0,0,1,1,0,0,1,1,1,0,1,1,7,5,3,2,6,6,5,6,6,3,6,5,3,5,6,6,65
17,2/10/24 17:47:23,2/10/24 17:52:34,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Primer curso,18,Hombre,0,0,1,1,1,0,0,1,0,0,0,1,5,5,5,3,6,1,3,2,4,5,5,1,1,5,5,5,18
18,2/10/24 17:50:50,2/10/24 17:58:07,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Último curso,35,Mujer,0,0,1,1,1,0,0,1,0,0,1,0,5,4,5,3,3,6,2,5,2,2,6,5,2,4,5,3,17
19,2/10/24 17:57:43,2/10/24 18:04:41,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Primer curso,19,Mujer,0,0,1,1,1,0,1,1,0,1,1,1,8,2,6,5,6,4,6,5,5,6,6,5,5,4,4,4,24
20,2/10/24 18:14:39,2/10/24 18:19:45,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Último curso,24,Mujer,0,0,1,0,0,0,1,1,0,1,1,1,6,1,4,5,7,2,1,1,5,6,7,5,3,4,1,5,44
21,2/10/24 19:17:13,2/10/24 19:20:39,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Primer curso,31,Mujer,0,0,1,1,1,1,1,1,0,1,1,1,9,1,7,2,1,7,2,1,1,7,7,4,6,7,2,2,61
22,2/10/24 19:17:55,2/10/24 19:24:50,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Primer curso,20,Mujer,0,0,1,1,1,0,1,1,1,1,1,0,8,2,7,4,4,3,2,5,6,7,6,3,3,6,5,4,41
23,2/10/24 19:34:24,2/10/24 19:37:41,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Último curso,24,Mujer,0,0,1,1,1,0,1,1,0,1,1,0,7,7,7,7,1,6,1,7,4,7,7,7,4,7,4,4,74
24,2/10/24 21:40:54,2/10/24 21:45:57,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Primer curso,19,Hombre,1,0,1,0,1,1,0,1,1,0,1,0,7,7,7,2,5,4,2,4,5,7,7,5,6,7,6,7,52
25,2/10/24 21:56:52,2/10/24 22:00:59,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Primer curso,21,Mujer,0,0,1,1,1,1,0,0,0,1,1,0,6,6,5,3,5,7,4,5,5,3,6,6,3,5,6,3,15
26,2/10/24 22:20:13,2/10/24 22:23:47,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Último curso,21,Mujer,0,0,1,1,1,0,1,1,0,0,1,0,6,5,7,4,2,6,1,4,5,4,7,5,4,4,3,4,53
27,2/11/24 1:35:23,2/11/24 1:40:38,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Primer curso,40,Mujer,0,0,1,1,1,1,0,0,0,1,1,1,7,7,5,3,7,4,3,6,7,7,7,7,5,7,5,4,59
28,2/11/24 8:45:03,2/11/24 8:49:12,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Último curso,22,Mujer,0,0,1,0,1,1,0,1,0,1,1,1,7,3,6,7,6,5,4,5,7,6,6,5,5,4,4,5,31
29,2/11/24 10:48:34,2/11/24 10:52:01,es,Universidad CEU Cardenal Herrera,Fisioterapia,Primer curso,19,Hombre,0,0,1,1,1,1,1,1,0,1,1,0,8,4,5,2,5,7,4,5,6,6,6,4,1,4,1,2,68
30,2/11/24 18:19:51,2/11/24 18:28:56,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Primer curso,28,Mujer,1,0,1,1,1,1,1,1,1,1,1,1,11,6,5,6,6,4,3,4,6,5,3,4,3,3,5,4,26
31,2/11/24 20:48:37,2/11/24 20:56:15,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Primer curso,18,Mujer,1,0,1,1,1,0,1,1,0,1,1,1,9,1,7,7,4,4,1,4,7,7,7,4,7,7,1,7,93
32,2/12/24 6:41:46,2/12/24 6:46:47,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Último curso,23,Hombre,0,0,1,0,1,1,0,1,1,1,1,0,7,1,6,6,4,5,7,3,7,7,7,4,5,7,7,7,52
33,2/12/24 8:15:07,2/12/24 8:24:18,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Primer curso,19,Mujer,0,0,1,1,1,0,0,0,0,1,1,1,6,4,6,3,6,4,5,4,6,6,4,4,5,6,6,4,29
34,2/12/24 9:31:02,2/12/24 9:36:38,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,18,Mujer,0,0,1,1,1,0,0,1,1,1,1,0,7,5,6,5,2,5,2,5,5,7,6,4,1,7,6,1,65
35,2/12/24 9:36:43,2/12/24 9:40:59,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,18,Hombre,0,0,1,1,0,0,0,0,0,1,0,0,3,3,4,7,6,3,5,4,6,4,4,1,1,4,4,4,60
36,2/12/24 9:42:46,2/12/24 9:49:12,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,18,Hombre,1,0,1,1,1,0,1,1,0,0,1,1,8,5,6,4,6,2,1,2,7,7,4,2,1,6,5,3,63
37,2/12/24 9:42:26,2/12/24 9:50:01,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,18,Hombre,1,0,1,1,0,0,0,1,1,0,1,1,7,4,6,2,4,4,3,4,6,4,4,4,2,4,4,4,61
38,2/12/24 9:45:31,2/12/24 9:51:46,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,21,Hombre,1,0,1,1,1,0,0,1,0,1,1,1,8,7,4,4,3,4,3,4,3,5,4,4,3,4,4,4,56
39,2/12/24 9:48:11,2/12/24 9:54:08,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,18,Mujer,0,0,1,1,1,1,0,1,1,1,1,0,8,5,2,4,3,5,3,6,2,2,2,5,6,3,3,4,57
40,2/12/24 9:46:51,2/12/24 9:54:54,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,19,Mujer,1,0,0,1,1,0,0,1,0,1,1,0,6,7,1,4,4,4,1,4,7,4,4,1,1,4,7,4,51
41,2/12/24 9:53:41,2/12/24 9:57:52,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,19,Mujer,0,0,1,1,1,1,0,1,0,1,1,0,7,5,6,4,5,3,4,4,5,5,7,3,1,7,5,2,62
42,2/12/24 9:55:08,2/12/24 9:58:39,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,19,Hombre,0,0,1,1,1,1,0,1,0,1,1,0,7,1,5,4,7,1,2,6,7,1,7,4,3,7,7,4,70
43,2/12/24 10:04:35,2/12/24 10:10:12,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,18,Mujer,0,0,1,1,1,1,0,0,0,1,0,1,6,7,7,7,4,4,4,7,7,7,7,4,4,7,4,7,81
44,2/12/24 10:18:45,2/12/24 10:23:20,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,21,Hombre,0,0,1,1,0,1,0,0,0,0,1,1,5,5,4,5,5,5,5,5,5,5,5,3,3,5,3,5,66
45,2/12/24 10:27:32,2/12/24 10:35:02,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,19,Hombre,1,0,1,1,1,0,0,1,1,1,1,0,8,3,6,6,5,2,2,4,6,3,6,1,2,6,6,3,63
46,2/12/24 10:41:00,2/12/24 10:46:56,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,18,Mujer,0,0,1,0,1,1,0,1,0,0,1,0,5,3,5,2,4,5,2,5,4,5,6,5,4,4,5,3,66
47,2/12/24 9:31:05,2/12/24 11:09:20,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,18,Hombre,0,0,1,1,1,1,1,1,0,1,1,0,8,4,6,4,6,3,2,5,3,2,5,2,2,5,5,2,58
48,2/12/24 11:04:33,2/12/24 11:11:01,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,19,Mujer,1,0,1,1,1,0,1,1,0,1,1,0,8,4,6,7,7,7,3,6,6,4,7,5,4,5,5,5,81
49,2/12/24 11:16:02,2/12/24 11:19:42,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,18,Mujer,1,0,1,1,1,0,0,0,0,1,0,1,6,2,5,6,4,6,3,4,5,7,7,4,2,5,2,6,78
50,2/12/24 11:22:30,2/12/24 11:26:28,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,18,Mujer,0,0,1,1,0,1,0,1,0,1,1,0,6,2,6,5,5,3,2,5,4,7,7,2,3,5,3,2,71
51,2/12/24 11:18:41,2/12/24 11:26:53,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Primer curso,21,Mujer,1,0,1,1,1,1,0,0,0,0,1,1,7,1,7,7,7,7,3,3,7,7,7,6,7,6,3,7,80
52,2/12/24 11:19:22,2/12/24 11:28:27,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,18,Hombre,1,0,1,0,1,1,0,1,1,1,1,0,8,4,7,2,2,1,1,5,7,4,6,5,1,2,4,1,58
53,2/12/24 12:54:36,2/12/24 12:57:55,"Español (España, alfabetización internacional)",Universidad Complutense de Madrid,Enfermería,Primer curso,21,Mujer,0,0,1,0,0,1,0,1,1,1,1,0,6,5,5,3,3,6,3,3,5,2,4,2,3,3,4,5,16
54,2/12/24 12:58:15,2/12/24 13:03:21,"Español (España, alfabetización internacional)",Universidad Complutense de Madrid,Enfermería,Primer curso,18,Mujer,0,0,1,0,0,0,1,1,0,0,1,0,4,1,4,5,3,3,1,4,3,7,6,3,5,5,2,3,35
55,2/12/24 12:58:30,2/12/24 13:05:45,"Español (España, alfabetización internacional)",Universidad Complutense de Madrid,Enfermería,Primer curso,18,Mujer,1,1,1,1,1,1,1,1,1,1,1,1,12,3,3,4,6,5,3,5,7,5,6,4,3,5,4,2,29
56,2/12/24 12:59:21,2/12/24 13:05:57,"Español (España, alfabetización internacional)",Universidad Complutense de Madrid,Enfermería,Primer curso,19,Mujer,0,0,1,1,1,1,1,1,0,1,1,0,8,4,5,4,4,5,3,5,6,6,5,4,4,4,5,4,36
57,2/12/24 12:58:29,2/12/24 13:06:58,"Español (España, alfabetización internacional)",Universidad Complutense de Madrid,Enfermería,Primer curso,19,Mujer,0,0,1,0,0,0,0,1,0,0,1,0,3,4,5,3,4,4,2,4,5,5,5,4,3,5,4,3,30
58,2/12/24 13:52:03,2/12/24 13:57:51,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,18,Mujer,1,0,1,0,0,1,0,1,0,1,1,0,6,4,3,1,2,5,1,3,1,5,6,2,4,5,3,4,57
59,2/12/24 14:02:37,2/12/24 14:12:47,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,18,Mujer,1,0,1,1,1,0,0,1,0,1,1,0,7,5,4,2,1,1,5,5,3,3,3,1,2,3,5,2,39
60,2/12/24 14:16:15,2/12/24 14:21:16,"Español (España, alfabetización internacional)",Universidad Complutense de Madrid,Enfermería,Primer curso,18,Mujer,0,0,1,1,1,0,1,1,0,0,1,1,7,2,6,5,2,5,3,5,7,6,6,5,5,5,5,3,21
61,2/12/24 14:36:42,2/12/24 14:45:25,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,19,Mujer,1,0,1,1,1,0,0,0,0,0,0,0,4,5,7,4,4,5,5,4,5,3,3,3,2,2,5,4,55
62,2/12/24 16:34:31,2/12/24 16:38:26,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Farmacia,Primer curso,18,Mujer,0,0,1,0,0,0,1,1,0,1,1,0,5,3,5,4,6,3,3,3,6,5,4,3,4,3,4,3,26
63,2/12/24 16:38:40,2/12/24 16:43:27,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Último curso,28,Mujer,0,0,1,1,0,0,0,0,1,0,0,0,3,6,7,5,7,5,4,3,6,4,6,3,2,2,5,3,27
64,2/12/24 16:48:48,2/12/24 16:52:22,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Último curso,22,Mujer,1,0,1,0,1,0,0,1,0,0,1,0,5,2,5,6,3,4,1,4,3,5,6,2,1,2,6,5,24
65,2/12/24 16:50:57,2/12/24 16:55:44,"Español (España, alfabetización internacional)",Universidad Complutense de Madrid,Enfermería,Primer curso,18,Hombre,1,0,1,1,1,1,0,1,1,1,1,1,10,4,6,5,3,7,4,5,4,4,5,7,7,5,6,4,43
66,2/12/24 17:05:57,2/12/24 17:11:33,English (United States)‎,Universidad CEU Cardenal Herrera,Farmacia,Último curso,27,Mujer,0,0,1,0,1,0,1,0,0,1,1,0,5,3,6,3,5,3,1,5,6,5,7,3,3,6,2,5,25
67,2/12/24 17:13:20,2/12/24 17:19:14,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,18,Mujer,0,0,1,1,1,0,1,1,0,0,1,1,7,5,7,2,3,5,6,7,1,3,7,4,2,7,3,3,61
68,2/12/24 18:05:06,2/12/24 18:09:44,"Español (España, alfabetización internacional)",Universidad Complutense de Madrid,Enfermería,Primer curso,18,Mujer,0,0,1,1,1,0,0,1,0,0,1,0,5,1,7,2,4,3,2,5,5,5,5,1,1,4,3,3,35
69,2/12/24 13:13:30,2/12/24 18:13:23,"Español (España, alfabetización internacional)",Universidad Complutense de Madrid,Enfermería,Primer curso,19,Mujer,0,0,1,1,1,0,1,1,1,0,1,1,8,5,7,6,7,6,5,5,7,6,6,5,5,6,7,5,28
70,2/12/24 18:49:58,2/12/24 18:55:22,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Farmacia,Último curso,23,Mujer,0,0,1,1,1,0,0,1,0,1,1,1,7,7,7,4,7,4,7,7,7,7,4,1,3,2,7,7,58
71,2/12/24 21:14:09,2/12/24 21:18:10,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,18,Mujer,0,0,1,1,1,0,0,0,1,0,1,0,5,5,3,5,6,3,4,5,3,2,6,4,1,5,5,3,56
72,2/12/24 21:48:05,2/12/24 21:53:26,es,Universidad Complutense de Madrid,Fisioterapia,Primer curso,25,Mujer,0,0,1,1,1,0,1,1,0,1,1,1,8,7,4,2,4,4,7,5,5,7,6,4,4,7,3,6,65
73,2/12/24 22:05:56,2/12/24 22:25:56,"Español (España, alfabetización internacional)",Universidad CEU Cardenal Herrera,Enfermería,Primer curso,49,Mujer,0,0,1,0,0,0,0,1,0,0,1,0,3,1,7,7,7,6,2,5,7,7,5,6,6,5,3,3,53
